NSE Index	""	""	""	""	""	""
Ticker	NSE Index	CNX500	CPSE	NIFINDIAMANU	NIFMICCAP250	NIFTOTALMAR
Name	Nifty 50	Nifty 500	Nifty CPSE	Nifty India Manufacturing Index	Nifty Microcap 250 Index	Nifty Total Market
URL	https://strike-analytics-dev.netlify.app/stocks/nifty-50	https://strike-analytics-dev.netlify.app/stocks/nifty-500	https://strike-analytics-dev.netlify.app/stocks/nifty-cpse	https://strike-analytics-dev.netlify.app/stocks/nifty-india-manufacturing-index	https://strike-analytics-dev.netlify.app/stocks/nifty-microcap-250-index	https://strike-analytics-dev.netlify.app/stocks/nifty-total-market
2025-05-16 16:55:59.000000	24977.3	22819.85	6516.65	14195.0	22737.75	12829.2
2025-05-16 17:00:59.000000	24962.3	22805.4	6508.2	14186.5	22720.5	12821.05
2025-05-16 17:05:59.000000	24994.35	22835.2	6517.3	14209.25	22736.8	12837.5
2025-05-16 17:10:59.000000	24984.85	22825.7	6516.5	14201.2	22736.75	12832.35
2025-05-16 17:15:59.000000	24985.2	22831.55	6522.75	14203.55	22746.25	12835.75
2025-05-16 17:20:59.000000	24984.3	22834.5	6524.35	14204.3	22755.55	12837.5
2025-05-16 17:25:59.000000	24973.95	22824.15	6524.25	14197.55	22737.05	12831.55
2025-05-16 17:30:59.000000	24976.75	22823.35	6520.45	14191.75	22727.5	12830.9
2025-05-16 17:35:59.000000	24987.65	22837.2	6526.35	14207.25	22749.85	12838.85
2025-05-16 17:40:59.000000	24981.4	22834.45	6522.95	14212.35	22746.95	12837.3
2025-05-16 17:45:59.000000	24969.1	22824.75	6519.85	14208.25	22738.25	12831.9
2025-05-16 17:50:59.000000	24976.9	22830.35	6520.3	14210.05	22745.4	12835.05
2025-05-16 17:55:59.000000	24978.75	22834.65	6528.55	14218.85	22750.9	12837.5
2025-05-16 18:00:59.000000	24983.55	22839.85	6530.85	14229.7	22751.5	12840.35
2025-05-16 18:05:59.000000	25000.8	22852.9	6537.3	14236.5	22751.2	12847.4
2025-05-16 18:10:59.000000	24994.95	22846.9	6527.75	14231.55	22742.4	12843.95
2025-05-16 18:15:59.000000	25015.8	22864.6	6530.95	14241.65	22755.1	12853.8
2025-05-16 18:20:59.000000	25006.2	22857.95	6528.85	14234.55	22760.9	12850.35
2025-05-16 18:25:59.000000	25001.35	22853.5	6523.75	14233.05	22765.5	12848.0
2025-05-16 18:30:59.000000	24987.05	22840.95	6513.45	14221.45	22756.05	12841.0
2025-05-16 18:35:59.000000	24999.9	22851.95	6514.35	14226.7	22769.5	12847.25
2025-05-16 18:40:59.000000	25001.75	22851.8	6507.5	14226.8	22764.25	12847.1
2025-05-16 18:45:59.000000	25005.35	22853.8	6505.95	14227.7	22756.1	12847.95
2025-05-16 18:50:59.000000	25010.15	22857.8	6508.4	14232.65	22754.9	12850.15
2025-05-16 18:55:59.000000	25015.9	22862.4	6508.8	14237.0	22752.0	12852.55
2025-05-16 19:00:59.000000	25024.75	22870.9	6510.95	14238.5	22763.7	12857.4
2025-05-16 19:05:59.000000	25020.55	22865.9	6506.95	14232.15	22767.95	12854.8
2025-05-16 19:10:59.000000	25006.0	22853.75	6504.9	14224.85	22775.7	12848.35
2025-05-16 19:15:59.000000	24995.6	22852.2	6504.75	14227.65	22774.9	12847.5
2025-05-16 19:20:59.000000	25014.9	22868.5	6507.8	14233.05	22790.0	12856.65
2025-05-16 19:25:59.000000	25017.5	22869.75	6506.05	14236.5	22784.9	12857.25
2025-05-16 19:30:59.000000	25011.35	22864.4	6504.75	14234.5	22783.45	12854.3
2025-05-16 19:35:59.000000	25024.8	22876.7	6506.05	14239.05	22788.1	12861.05
2025-05-16 19:40:59.000000	25028.4	22880.95	6507.05	14245.15	22791.2	12863.4
2025-05-16 19:45:59.000000	25017.95	22872.9	6511.6	14241.25	22787.35	12859.0
2025-05-16 19:50:59.000000	25005.05	22863.05	6509.35	14234.05	22801.95	12853.95
2025-05-16 19:55:59.000000	25013.85	22867.35	6508.5	14234.1	22808.45	12856.4
2025-05-16 20:00:59.000000	24996.75	22841.45	6489.75	14206.5	22757.4	12841.35
2025-05-16 20:05:59.000000	24999.5	22835.85	6487.35	14204.65	22749.8	12838.15
2025-05-16 20:10:59.000000	25016.4	22855.6	6495.5	14220.3	22765.0	12849.15
2025-05-16 20:15:59.000000	25009.9	22848.35	6491.85	14212.0	22776.1	12845.45
2025-05-16 20:20:59.000000	25015.45	22859.25	6495.65	14224.1	22791.55	12851.65
2025-05-16 20:25:59.000000	25013.1	22853.8	6494.0	14215.1	22800.1	12848.9
2025-05-16 20:30:59.000000	25013.9	22862.75	6495.8	14223.5	22816.85	12854.1
2025-05-16 20:35:59.000000	25027.6	22877.7	6507.25	14235.5	22821.0	12862.3
2025-05-16 20:40:59.000000	25031.15	22882.35	6509.6	14244.35	22826.75	12864.9
2025-05-16 20:45:59.000000	25021.45	22873.9	6507.1	14239.95	22805.8	12859.9
2025-05-16 20:50:59.000000	25012.65	22865.1	6502.7	14236.4	22806.15	12855.15
2025-05-16 20:55:59.000000	25016.35	22865.45	6505.3	14239.55	22805.3	12855.3
2025-05-16 21:00:59.000000	25013.7	22861.4	6504.65	14228.5	22815.1	12853.35
2025-05-16 21:05:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:10:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:15:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:20:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:25:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:30:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:35:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-16 21:40:59.000000	25019.8	22870.9	6504.75	14237.7	22816.7	12858.5
2025-05-19 14:45:59.000000	24977.95	22870.3	6562.15	14289.45	22978.1	12861.55
2025-05-19 14:50:59.000000	25016.15	22901.6	6560.75	14290.05	23059.95	12880.25
2025-05-19 14:55:59.000000	25025.25	22919.65	6571.95	14296.9	23075.45	12890.35
2025-05-19 15:00:59.000000	25031.8	22924.6	6580.15	14304.2	23046.55	12892.4
2025-05-19 15:05:59.000000	25020.45	22906.2	6560.75	14294.05	22987.4	12881.2
2025-05-19 15:10:59.000000	24989.2	22844.85	6539.65	14241.9	22847.9	12845.05
2025-05-19 15:15:59.000000	25005.65	22871.0	6546.55	14264.9	22910.3	12860.55
2025-05-19 15:20:59.000000	25022.2	22896.9	6544.15	14284.55	22958.5	12875.55
2025-05-19 15:25:59.000000	25006.1	22879.85	6527.05	14276.05	22947.3	12866.1
2025-05-19 15:30:59.000000	25004.7	22892.1	6533.8	14302.45	22981.4	12873.45
2025-05-19 15:35:59.000000	25030.55	22922.8	6542.4	14316.7	23010.6	12890.65
2025-05-19 15:40:59.000000	25046.35	22940.6	6550.65	14326.2	23051.2	12901.15
2025-05-19 15:45:59.000000	25043.95	22944.5	6544.35	14317.85	23096.3	12904.2
2025-05-19 15:50:59.000000	25041.9	22945.05	6540.95	14314.6	23120.2	12905.0
2025-05-19 15:55:59.000000	25038.2	22943.9	6539.0	14308.05	23138.75	12904.8
2025-05-19 16:00:59.000000	25019.2	22929.8	6529.7	14298.3	23126.9	12896.9
2025-05-19 16:05:59.000000	25021.35	22938.1	6532.25	14309.45	23141.35	12901.7
2025-05-19 16:10:59.000000	25018.1	22935.35	6528.9	14306.0	23144.7	12900.25
2025-05-19 16:15:59.000000	25003.45	22923.8	6529.1	14296.9	23148.95	12894.1
2025-05-19 16:20:59.000000	25014.5	22938.55	6534.2	14311.1	23170.25	12902.55
2025-05-19 16:25:59.000000	25040.0	22958.2	6537.5	14319.25	23181.1	12913.4
2025-05-19 16:30:59.000000	25028.95	22948.55	6540.9	14316.35	23174.5	12908.05
2025-05-19 16:35:59.000000	25045.25	22964.4	6555.05	14326.6	23197.5	12917.1
2025-05-19 16:40:59.000000	25038.2	22955.45	6551.5	14317.7	23179.0	12911.9
2025-05-19 16:45:59.000000	25027.2	22944.45	6543.75	14308.75	23167.45	12905.7
2025-05-19 16:50:59.000000	25034.45	22951.15	6544.35	14307.25	23189.6	12909.8
2025-05-19 16:55:59.000000	25027.0	22941.1	6542.1	14300.45	23166.9	12903.85
2025-05-19 17:00:59.000000	25028.5	22938.05	6541.0	14298.65	23145.1	12901.75
2025-05-19 17:05:59.000000	25009.9	22923.2	6538.6	14283.0	23146.1	12893.7
2025-05-19 17:10:59.000000	25012.85	22933.6	6542.95	14291.1	23168.65	12899.8
2025-05-19 17:15:59.000000	25008.5	22930.45	6543.25	14288.75	23171.6	12898.15
2025-05-19 17:20:59.000000	25018.05	22936.65	6539.8	14290.65	23172.7	12901.55
2025-05-19 17:25:59.000000	25020.6	22944.35	6537.9	14303.55	23187.3	12906.05
2025-05-19 17:30:59.000000	24992.25	22920.8	6529.3	14287.1	23176.8	12893.05
2025-05-19 17:35:59.000000	24991.4	22919.8	6530.05	14287.85	23161.25	12892.2
2025-05-19 17:40:59.000000	24990.6	22918.6	6527.9	14288.8	23162.6	12891.6
2025-05-19 17:45:59.000000	24978.85	22903.05	6523.15	14276.45	23139.9	12882.7
2025-05-19 17:50:59.000000	25001.05	22925.6	6532.3	14292.75	23151.45	12895.15
2025-05-19 17:55:59.000000	25013.2	22938.8	6532.6	14298.15	23165.2	12902.55
2025-05-19 18:00:59.000000	25006.7	22936.8	6532.05	14297.3	23183.1	12901.85
2025-05-19 18:05:59.000000	25006.2	22936.4	6537.75	14299.05	23178.1	12901.55
2025-05-19 18:10:59.000000	25003.7	22932.85	6532.7	14294.6	23159.05	12899.2
2025-05-19 18:15:59.000000	25003.9	22934.25	6536.95	14301.35	23162.2	12900.05
2025-05-19 18:20:59.000000	25008.15	22937.8	6535.4	14303.2	23163.15	12902.0
2025-05-19 18:25:59.000000	25012.9	22942.75	6534.25	14310.9	23168.55	12904.8
2025-05-19 18:30:59.000000	25012.85	22941.35	6535.65	14310.6	23166.0	12903.95
2025-05-19 18:35:59.000000	25000.55	22929.3	6525.45	14301.15	23154.05	12897.2
2025-05-19 18:40:59.000000	24983.25	22917.2	6521.5	14297.8	23146.3	12890.5
2025-05-19 18:45:59.000000	24975.65	22909.75	6521.4	14295.2	23152.75	12886.55
2025-05-19 18:50:59.000000	24991.5	22913.8	6524.35	14295.55	23132.35	12888.35
2025-05-19 18:55:59.000000	24997.75	22919.85	6528.7	14294.8	23138.25	12891.75
2025-05-19 19:00:59.000000	24999.9	22920.85	6527.4	14297.85	23137.85	12892.3
2025-05-19 19:05:59.000000	24989.35	22912.0	6528.7	14297.0	23128.2	12887.3
2025-05-19 19:10:59.000000	24989.05	22910.25	6527.85	14296.95	23109.45	12885.95
2025-05-19 19:15:59.000000	24981.9	22908.0	6527.45	14296.75	23108.85	12884.7
2025-05-19 19:20:59.000000	24972.5	22896.45	6522.65	14287.95	23091.3	12878.1
2025-05-19 19:25:59.000000	24981.15	22905.8	6527.65	14292.35	23103.15	12883.4
2025-05-19 19:30:59.000000	24953.85	22875.8	6513.6	14273.15	23063.7	12866.35
2025-05-19 19:35:59.000000	24940.75	22860.2	6505.85	14264.0	23032.85	12857.25
2025-05-19 19:40:59.000000	24932.2	22852.6	6507.75	14260.2	23016.35	12852.8
2025-05-19 19:45:59.000000	24939.9	22858.2	6507.6	14259.7	23009.05	12855.65
2025-05-19 19:50:59.000000	24956.75	22880.25	6513.0	14274.8	23066.4	12868.8
2025-05-19 19:55:59.000000	24945.0	22874.05	6510.2	14268.45	23079.25	12865.7
2025-05-19 20:00:59.000000	24942.1	22870.55	6510.8	14267.85	23075.25	12863.75
2025-05-19 20:05:59.000000	24945.95	22870.95	6510.8	14265.7	23072.25	12863.9
2025-05-19 20:10:59.000000	24947.15	22874.0	6515.0	14270.85	23074.65	12865.6
2025-05-19 20:15:59.000000	24935.65	22860.15	6509.5	14258.55	23079.4	12858.2
2025-05-19 20:20:59.000000	24933.6	22859.5	6511.15	14258.45	23075.6	12857.75
2025-05-19 20:25:59.000000	24928.85	22851.85	6507.5	14246.95	23072.25	12853.55
2025-05-19 20:30:59.000000	24938.9	22863.55	6513.85	14258.55	23095.7	12860.4
2025-05-19 20:35:59.000000	24953.6	22869.3	6519.0	14259.7	23082.95	12863.2
2025-05-19 20:40:59.000000	24946.15	22868.45	6524.05	14262.05	23106.3	12863.25
2025-05-19 20:45:59.000000	24942.65	22863.3	6520.1	14253.95	23093.9	12860.2
2025-05-19 20:50:59.000000	24944.6	22861.8	6512.6	14252.6	23077.4	12859.05
2025-05-19 20:55:59.000000	24949.1	22867.1	6517.7	14252.65	23088.6	12862.15
2025-05-19 21:00:59.000000	24945.45	22865.8	6517.65	14255.6	23088.3	12861.45
2025-05-19 21:05:59.000000	24945.45	22865.8	6517.65	14256.4	23088.3	12861.45
2025-05-19 21:10:59.000000	24945.45	22865.8	6517.65	14256.4	23088.3	12861.45
